"sp","bin","n_oc","mst","n_suitable","species_count"
"Brachiopoda Onniella_depressa","Sandbian","2","11.2249721603218","12","70"
"Brachiopoda Chonetoidea_homolensis","Sandbian","2","12.639122819419","12","66"
"Brachiopoda Orthorhynchula_linneyi","Sandbian","2","15.2755690343498","10","40"
"Brachiopoda Platystrophia_laticosta","Sandbian","5","25.5154435707456","16","49"
"Brachiopoda Strophomena_planoconvexa","Sandbian","3","14.9733095873958","16","53"
"Mollusca Byssonychia_radiata","Sandbian","1",NA,"10","40"
"Mollusca Modiolopsis_modiolaris","Sandbian","1",NA,"11","47"
"Mollusca Pterinea_demissa","Sandbian","3","23.7673309112818","16","56"
"Brachiopoda Platystrophia_cypha","Sandbian","2","17.8744189077217","16","49"
"Brachiopoda Strophomena_planumbona","Sandbian","2","11.2249721603218","11","48"
"Brachiopoda Rafinesquina_alternata","Sandbian","5","31.6651445137944","16","46"
"Brachiopoda Plaesiomys_subquadratus","Sandbian","2","28.0085005924269","11","51"
"Brachiopoda Leptaena_richmondensis","Sandbian","2","19.6895052709403","10","40"
"Brachiopoda Hiscobeccus_capax","Sandbian","2","11.2249721603218","11","48"
"Brachiopoda Hebertella_occidentalis","Sandbian","3","17.8744189077217","16","54"
"Brachiopoda Cincinnetina_multisecta","Sandbian","3","16.0607417526202","16","47"
"Brachiopoda Trematis_millepunctata","Sandbian","2","9.90959131347","10","40"
"Brachiopoda Cincinnetina_meeki","Sandbian","2","26.4580616820196","13","49"
"Mollusca Byssonychia_bowmani","Sandbian",NA,NA,NA,NA
"Mollusca Byssonychia_praecursa","Sandbian","1",NA,"11","46"
"Mollusca Ischyrodonta_unionoides","Sandbian","2","26.4580616820196","11","45"
"Mollusca Pterinea_insueta","Sandbian",NA,NA,NA,NA
"Mollusca Whitella_massanuttenensis","Sandbian",NA,NA,NA,NA
"Mollusca Colpomya_faba","Sandbian","1",NA,"11","46"
"Mollusca Orthodesma_nasutum","Sandbian","1",NA,"11","44"
"Brachiopoda Christiania_nilssoni","Sandbian",NA,NA,NA,NA
"Brachiopoda Katastrophomena_dolhirensis","Sandbian","1",NA,"12","59"
"Brachiopoda Kullervo_complectens","Sandbian","3","20.2915604536556","12","56"
"Brachiopoda Gunnarella_mcdermotti","Sandbian","1",NA,"12","56"
"Brachiopoda Nicolella_actoniae","Sandbian","2","21.891602886337","12","56"
"Brachiopoda Platystrophia_anomala","Sandbian","1",NA,"12","56"
"Brachiopoda Sampo_transversa","Sandbian","1",NA,"12","57"
"Brachiopoda Spinorthis_geniculata","Sandbian","1",NA,"12","67"
"Brachiopoda Strophomena_ceiriogensis","Sandbian","1",NA,"12","64"
"Brachiopoda Hindella_incipiens","Sandbian","1",NA,"15","62"
"Brachiopoda Fardenia_scotica","Sandbian","1",NA,"12","68"
"Brachiopoda Mjoesina_marri","Sandbian","1",NA,"12","57"
"Brachiopoda Plaesiomys_porcata","Sandbian","1",NA,"14","48"
"Brachiopoda Saukrodictya_hibernica","Sandbian","1",NA,"20","52"
"Brachiopoda Triplesia_hintsae","Sandbian","1",NA,"12","59"
"Brachiopoda Eostropheodonta_hirnantensis","Sandbian","1",NA,"12","70"
"Brachiopoda Platystrophia_lutkevichi","Sandbian",NA,NA,NA,NA
"Brachiopoda Leptaena_rugosa","Sandbian","1",NA,"15","65"
"Brachiopoda Kullervo_grandis","Sandbian","1",NA,"12","70"
"Brachiopoda Lepidocyclus_cooperi","Sandbian","3","20.5085348087083","11","51"
"Brachiopoda Austinella_multicostella","Sandbian","3","20.5085348087083","11","48"
"Brachiopoda Glyptorthis_glaseri","Sandbian","2","11.2249721603218","11","53"
"Brachiopoda Plaesiomys_proavitus","Sandbian","2","11.2249721603218","11","48"
"Brachiopoda Platystrophia_sutherlandi","Sandbian","2","11.2249721603218","11","52"
"Brachiopoda Platystrophia_uncinata","Sandbian","2","11.2249721603218","11","52"
"Brachiopoda Eochonetes_magna","Sandbian","3","20.5085348087083","11","48"
"Brachiopoda Lingula_changi","Sandbian",NA,NA,NA,NA
"Mollusca Palaeoneilo_fecunda","Sandbian",NA,NA,NA,NA
"Mollusca Nuculites_neglectus","Sandbian",NA,NA,NA,NA
"Brachiopoda Paucicrura_rogata","Sandbian","1",NA,"10","40"
"Brachiopoda Rafinesquina_deltoidea","Sandbian","1",NA,"10","40"
"Brachiopoda Megamyonia_unicostata","Sandbian","1",NA,"11","47"
"Brachiopoda Paucicrura_corpulenta","Sandbian","1",NA,"11","53"
"Brachiopoda Eoplectodonta_ichnusae","Sandbian",NA,NA,NA,NA
"Brachiopoda Iberomena_sardoa","Sandbian",NA,NA,NA,NA
"Brachiopoda Rafinesquina_lignani","Sandbian",NA,NA,NA,NA
"Brachiopoda Svobodaina_havliceki","Sandbian",NA,NA,NA,NA
"Brachiopoda Tafilaltia_brevimusculosa","Sandbian",NA,NA,NA,NA
"Brachiopoda Leptobolus_insignis","Sandbian",NA,NA,NA,NA
"Mollusca Ctenodonta_pulchella","Sandbian",NA,NA,NA,NA
"Mollusca Nuculites_planulatus","Sandbian","2","16.4455910294571","14","42"
"Mollusca Homilodonta_filistriata","Sandbian","1",NA,"11","44"
"Brachiopoda Rhynchotrema_iowense","Sandbian",NA,NA,NA,NA
"Brachiopoda Sowerbyella_tenera","Sandbian","1",NA,"13","66"
"Brachiopoda Howellites_wesenbergensis","Sandbian","1",NA,"13","67"
"Brachiopoda Platystrophia_crassoplicata","Sandbian","1",NA,"13","63"
"Brachiopoda Platystrophia_rava","Sandbian","2","19.4422220952236","13","68"
"Brachiopoda Oanduporella_reticulata","Sandbian",NA,NA,NA,NA
"Brachiopoda Vellamo_oandoensis","Sandbian","2","9.90959131347","13","65"
"Brachiopoda Rhynchotrema_parva","Sandbian","1",NA,"13","66"
"Brachiopoda Anisopleurella_multiseptata","Sandbian","1",NA,"12","69"
"Brachiopoda Eoplectodonta_lenis","Sandbian","1",NA,"12","59"
"Brachiopoda Leptestiina_derfelensis","Sandbian","2","19.81918262694","12","67"
"Brachiopoda Glyptambonites_magnificus","Sandbian","1",NA,"12","56"
"Brachiopoda Dinorthis_berwynensis","Sandbian","1",NA,"12","57"
"Brachiopoda Howellites_striata","Sandbian","1",NA,"12","56"
